 Neutron Energy  Cross Section
        eV            barn
   3.125000E-03   6.912971E+01  
   3.218750E-03   6.819275E+01  
   3.312500E-03   6.729690E+01  
   3.406250E-03   6.643929E+01  
   3.500000E-03   6.561733E+01  
   3.593750E-03   6.482868E+01  
   3.687500E-03   6.407118E+01  
   3.781250E-03   6.334287E+01  
   3.875000E-03   6.264196E+01  
   3.968750E-03   6.196683E+01  
   4.062500E-03   6.131597E+01  
   4.250000E-03   6.008157E+01  
   4.437500E-03   5.892893E+01  
   4.625000E-03   5.784961E+01  
   4.812500E-03   5.683633E+01  
   5.000000E-03   5.588279E+01  
   5.156250E-03   5.512982E+01  
   5.312500E-03   5.441169E+01  
   5.468750E-03   5.372587E+01  
   5.625000E-03   5.307007E+01  
   5.781250E-03   5.244224E+01  
   5.937500E-03   5.184050E+01  
   6.093750E-03   5.126314E+01  
   6.250000E-03   5.070863E+01  
   6.406250E-03   5.017553E+01  
   6.562500E-03   4.966255E+01  
   6.718750E-03   4.916851E+01  
   6.875000E-03   4.869229E+01  
   7.187500E-03   4.778942E+01  
   7.500000E-03   4.694673E+01  
   7.812500E-03   4.615806E+01  
   8.125000E-03   4.541810E+01  
   8.437500E-03   4.472221E+01  
   8.750000E-03   4.406636E+01  
   9.062500E-03   4.344702E+01  
   9.375000E-03   4.286106E+01  
   9.687500E-03   4.230572E+01  
   1.000000E-02   4.177854E+01  
   1.031250E-02   4.127732E+01  
   1.062500E-02   4.080012E+01  
   1.093750E-02   4.034515E+01  
   1.125000E-02   3.991084E+01  
   1.156250E-02   3.949576E+01  
   1.187500E-02   3.909858E+01  
   1.218750E-02   3.871813E+01  
   1.250000E-02   3.835333E+01  
   1.281250E-02   3.800321E+01  
   1.312500E-02   3.766685E+01  
   1.343750E-02   3.734342E+01  
   1.375000E-02   3.703218E+01  
   1.437500E-02   3.644349E+01  
   1.500000E-02   3.589580E+01  
   1.562500E-02   3.538483E+01  
   1.625000E-02   3.490691E+01  
   1.687500E-02   3.445885E+01  
   1.750000E-02   3.403785E+01  
   1.812500E-02   3.364149E+01  
   1.875000E-02   3.326761E+01  
   1.937500E-02   3.291432E+01  
   2.000000E-02   3.257992E+01  
   2.066250E-02   3.224442E+01  
   2.132500E-02   3.192686E+01  
   2.198750E-02   3.162583E+01  
   2.265000E-02   3.134004E+01  
   2.331250E-02   3.106836E+01  
   2.397500E-02   3.080974E+01  
   2.463750E-02   3.056327E+01  
   2.530000E-02   3.032810E+01  
   2.645782E-02   2.994197E+01  
   2.761563E-02   2.958444E+01  
   2.877344E-02   2.925244E+01  
   2.993125E-02   2.894332E+01  
   3.108907E-02   2.865478E+01  
   3.224688E-02   2.838483E+01  
   3.340469E-02   2.813175E+01  
   3.456250E-02   2.789400E+01  
   3.552735E-02   2.770661E+01  
   3.649219E-02   2.752822E+01  
   3.745704E-02   2.735822E+01  
   3.842188E-02   2.719603E+01  
   3.938673E-02   2.704112E+01  
   4.035157E-02   2.689301E+01  
   4.131641E-02   2.675129E+01  
   4.228125E-02   2.661553E+01  
