8.21E-01	8.63E-01	4.26E+06
8.63E-01	9.07E-01	3.90E+06
9.07E-01	9.54E-01	3.75E+06
9.54E-01	9.62E-01	3.79E+06
9.62E-01	9.78E-01	3.44E+06
9.78E-01	1.003	3.43E+06
1.003	1.054	3.19E+06
1.054	1.108	3.14E+06
1.108	1.165	2.86E+06
1.165	1.194	2.64E+06
1.194	1.225	2.67E+06
1.225	1.287	2.45E+06
1.287	1.353	2.25E+06
1.353	1.423	2.05E+06
1.423	1.496	1.91E+06
1.496	1.534	1.85E+06
1.534	1.572	1.73E+06
1.572	1.612	1.75E+06
1.612	1.653	1.61E+06
1.653	1.738	1.57E+06
1.738	1.827	1.47E+06
1.827	1.873	1.41E+06
1.873	1.92	1.30E+06
1.92	1.969	1.25E+06
1.969	2.019	1.25E+06
2.019	2.122	1.15E+06
2.122	2.231	1.08E+06
2.231	2.269	1.03E+06
2.269	2.307	1.06E+06
2.307	2.346	1.01E+06
2.346	2.365	1.03E+06
2.365	2.385	9.74E+05
2.385	2.425	9.50E+05
2.425	2.466	9.99E+05
2.466	2.592	8.79E+05
2.592	2.725	7.99E+05
2.725	2.865	7.85E+05
2.865	3.012	7.20E+05
3.012	3.088	6.89E+05
3.088	3.166	6.76E+05
3.166	3.247	6.40E+05
3.247	3.329	6.23E+05
3.329	3.499	5.75E+05
3.499	3.679	5.53E+05
3.679	3.867	5.06E+05
3.867	4.066	4.73E+05
4.066	4.274	4.58E+05
4.274	4.493	4.15E+05
4.493	4.607	3.97E+05
4.607	4.724	3.83E+05
4.724	4.843	3.74E+05
4.843	4.966	3.59E+05
4.966	5.22	3.32E+05
5.22	5.488	3.02E+05
5.488	5.77	2.90E+05
5.77	5.916	2.68E+05
5.916	6.065	2.58E+05
6.065	6.219	2.55E+05
6.219	6.376	2.38E+05
6.376	6.538	2.33E+05
6.538	6.592	2.32E+05
6.592	6.648	2.30E+05
6.648	6.703	2.20E+05
6.703	6.873	2.09E+05
6.873	7.047	2.11E+05
7.047	7.225	1.91E+05
7.225	7.408	1.91E+05
7.408	7.596	1.88E+05
7.596	7.788	1.73E+05
7.788	7.985	1.73E+05
7.985	8.187	1.62E+05
8.187	8.395	1.53E+05
8.395	8.607	1.51E+05
8.607	8.825	1.38E+05
8.825	9.048	1.24E+05
9.048	9.277	1.27E+05
9.277	9.512	1.22E+05
9.512	9.753	1.16E+05
9.753	10	1.05E+05
10	10.25	1.03E+05
10.25	10.51	1.03E+05
10.51	10.78	9.30E+04
10.78	11.05	8.99E+04
11.05	11.33	8.45E+04
11.33	11.62	7.86E+04
11.62	11.91	7.91E+04
11.91	12.21	7.14E+04
12.21	12.52	6.76E+04
12.52	12.84	6.33E+04
12.84	13.17	6.44E+04
13.17	13.5	6.27E+04
13.5	13.84	5.61E+04
13.84	14.19	5.55E+04
14.19	14.55	5.36E+04
14.55	14.92	4.79E+04
14.92	15.3	4.57E+04
15.3	15.68	4.49E+04
15.68	16.08	4.65E+04
16.08	16.49	4.21E+04
16.49	16.9	4.17E+04
16.9	17.33	3.68E+04
17.33	17.77	3.52E+04
17.77	18.22	3.26E+04
18.22	18.68	3.39E+04
18.68	19.16	3.03E+04
19.16	19.64	2.92E+04
19.64	20	2.91E+04
20	26.8	2.06E+04
26.8	35.91	1.26E+04
35.91	48.12	8.97E+03
48.12	64.47	6.15E+03
64.47	86.39	3.83E+03
86.39	115.8	2.21E+03
115.8	155.1	1.05E+03
155.1	207.8	3.48E+02
207.8	278.5	6.50E+01
278.5	373.2	3.86E+00
